        Res  : IGHV4-38-2*01       IGHD6-19*01         IGHJ6*02            

S109    Pred : IGHV4-38-2*01       IGHD2-8*01          IGHJ3*02            
        Res  : IGHV4-38-2*01       IGHD6-13*01         IGHJ3*01            

S110    Pred : IGHV4-59*02         IGHD3-9*01          IGHJ5*01            
        Res  : IGHV4-59*02         IGHD4/OR15-4a*01    IGHJ5*01            

S111    Pred : IGHV1/OR15-9*01     IGHD3-16*02         IGHJ1*01            
        Res  : IGHV1/OR15-9*01     IGHD3-16*02         IGHJ1*01            

S112    Pred : IGHV2/OR16-5*01     IGHD4-23*01         IGHJ2*01            
        Res  : IGHV2/OR16-5*01     IGHD4-17*01         IGHJ2*01            

S113    Pred : IGHV3-35*01         IGHD1-14*01         IGHJ2*01            
        Res  : IGHV3-35*01         IGHD1-14*01         IGHJ2*01            

S114    Pred : IGHV3/OR16-12*01    IGHD2-8*02          IGHJ6*02            
        Res  : IGHV3/OR16-12*01    IGHD2-8*02          IGHJ6*02            

S115    Pred : IGHV3/OR16-10*03    IGHD6-25*01         IGHJ6*01            
        Res  : IGHV3/OR16-10*03    IGHD1-26*01         IGHJ6*01            

S116    Pred : IGHV3/OR16-9*01     IGHD3-9*01          IGHJ5*02            
        Res  : IGHV3/OR16-9*01     IGHD4/OR15-4a*01    IGHJ5*02            

S117    Pred : IGHV4-30-4*07       IGHD3/OR15-3b*01    IGHJ5*02            
        Res  : IGHV4-30-4*07       IGHD3/OR15-3a*01    IGHJ5*02            

S118    Pred : IGHV6-1*02          IGHD1/OR15-1b*01    IGHJ5*01            
        Res  : IGHV6-1*02          IGHD1-20*01         IGHJ5*01            

S119    Pred : IGHV3/OR16-6*02     IGHD3-10*02         IGHJ6*02            
        Res  : IGHV3/OR16-6*02     IGHD3-10*02         IGHJ6*02            

S120    Pred : IGHV1/OR15-1*04     IGHD2-15*01         IGHJ5*01            
        Res  : IGHV1/OR15-1*03     IGHD1-26*01         IGHJ5*01            

S121    Pred : IGHV1-2*02          IGHD3-9*01          IGHJ5*02            
        Res  : IGHV1-2*03          IGHD3-9*01          IGHJ5*02            

S122    Pred : IGHV3-38*02         IGHD5/OR15-5a*01    IGHJ6*03            
        Res  : IGHV3-38*01         IGHD5/OR15-5a*01    IGHJ6*03            

S123    Pred : IGHV3-64*05         IGHD3-9*01          IGHJ3*02            
        Res  : IGHV3-64*05         IGHD3-9*01          IGHJ3*02            

S124    Pred : IGHV5-10-1*01       No genes            IGHJ3*01            
        Res  : IGHV5-10-1*01       IGHD1-14*01         IGHJ3*02            

S125    Pred : IGHV3-16*01         IGHD3-22*01         IGHJ4*01            
        Res  : IGHV3-16*01         IGHD3-22*01         IGHJ4*01            

S126    Pred : IGHV1-8*01          IGHD4-17*01         IGHJ4*03            
        Res  : IGHV1-8*01          IGHD4-17*01         IGHJ4*03            

S127    Pred : IGHV6-1*01          IGHD4-17*01         IGHJ4*02            
        Res  : IGHV6-1*01          IGHD4-23*01         IGHJ4*02            

S128    Pred : IGHV3-35*01         No genes            IGHJ2*01            
        Res  : IGHV3-35*01         IGHD1-14*01         IGHJ2*01            

S129    Pred : IGHV3/OR16-12*01    No genes            IGHJ6*01            
        Res  : IGHV3/OR16-12*01    IGHD7-27*01         IGHJ6*01            

S130    Pred : IGHV3-15*05         IGHD6-25*01         IGHJ5*01            
        Res  : IGHV3-15*05         IGHD6-13*01         IGHJ5*01            

S131    Pred : IGHV3-16*01         IGHD3-16*01         IGHJ6*03            
        Res  : IGHV3-16*02         IGHD3-16*01         IGHJ6*03            

S132    Pred : IGHV3-48*03         No genes            IGHJ1*01            
        Res  : IGHV3-48*03         IGHD1-7*01          IGHJ1*01            

S133    Pred : IGHV2-26*01         No genes            IGHJ3*02            
        Res  : IGHV2-26*01         IGHD2-8*02          IGHJ3*01            

S134    Pred : IGHV1/OR15-5*02     No genes            IGHJ2*01            
        Res  : IGHV1/OR15-5*02     IGHD4-23*01         IGHJ2*01            

S135    Pred : IGHV5-51*02         IGHD3-10*02         IGHJ5*02            
        Res  : IGHV5-51*02         IGHD3-10*02         IGHJ5*02            

S136    Pred : IGHV1-24*01         No genes            IGHJ4*02            
        Res  : IGHV1-24*01         IGHD1-20*01         IGHJ4*02            

S137    Pred : IGHV3-73*02         IGHD6-6*01          IGHJ3*01            
        Res  : IGHV3-73*02         IGHD6-6*01          IGHJ3*01            

S138    Pred : IGHV5-10-1*03       IGHD2-15*01         IGHJ5*02            
        Res  : IGHV5-10-1*03       IGHD2-2*03          IGHJ4*02            

S139    Pred : IGHV1-8*01          IGHD1-7*01          IGHJ4*03            
        Res  : IGHV1-8*01          IGHD1/OR15-1a*01    IGHJ4*03            

S140    Pred : IGHV4-61*04         IGHD1-20*01         IGHJ2*01            
        Res  : IGHV4-61*04         IGHD1-20*01         IGHJ2*01            

S141    Pred : IGHV3-30-3*02       No genes            IGHJ6*04            
        Res  : IGHV3-30-3*02       IGHD6-6*01          IGHJ6*04            

S142    Pred : IGHV3-64*05         No genes            IGHJ1*01            
        Res  : IGHV3-64D*06        IGHD1-7*01          IGHJ1*01            

S143    Pred : IGHV4-38-2*02       IGHD1-26*01         IGHJ5*01            
        Res  : IGHV4-38-2*02       IGHD1-26*01         IGHJ5*01            

S144    Pred : IGHV3-38-3*01       No genes            IGHJ5*01            
        Res  : IGHV3-38-3*01       IGHD1-1*01          IGHJ4*01            

S145    Pred : IGHV3-23*03         IGHD3-9*01          IGHJ2*01            
        Res  : IGHV3-23*03         IGHD4-17*01         IGHJ2*01            

S146    Pred : IGHV2-70*12         No genes            IGHJ3*01            
        Res  : IGHV2-70*12         IGHD4/OR15-4a*01    IGHJ3*02            

S147    Pred : IGHV3-66*04         No genes            IGHJ4*03            
        Res  : IGHV3-66*02         IGHD4-17*01         IGHJ4*03            

S148    Pred : IGHV3-64*01         IGHD7-27*01         IGHJ2*01            
        Res  : IGHV3-64*01         IGHD7-27*01         IGHJ2*01            

S149    Pred : IGHV2-70D*14        IGHD4/OR15-4a*01    IGHJ3*02            
        Res  : IGHV2-70D*14        IGHD4/OR15-4a*01    IGHJ3*02            

S150    Pred : IGHV3-64*03         No genes            IGHJ5*01            
        Res  : IGHV3-64*05         IGHD6-6*01          IGHJ5*01            

S151    Pred : IGHV3-23*01         No genes            IGHJ3*02            
        Res  : IGHV3-23*01         IGHD4-23*01         IGHJ3*02            

S152    Pred : IGHV3/OR15-7*01     IGHD2-8*02          IGHJ4*02            
        Res  : IGHV3/OR15-7*01     IGHD2-8*02          IGHJ4*02            

S153    Pred : IGHV5-10-1*01       IGHD3-22*01         IGHJ2*01            
        Res  : IGHV5-10-1*04       IGHD6-19*01         IGHJ2*01            

S154    Pred : IGHV3-21*02         IGHD3-3*01          IGHJ1*01            
        Res  : IGHV3-21*02         IGHD3-3*01          IGHJ1*01            

S155    Pred : IGHV5-51*04         IGHD1-26*01         IGHJ1*01            
        Res  : IGHV5-51*03         IGHD5-12*01         IGHJ1*01            

S156    Pred : IGHV1/OR21-1*01     IGHD5-12*01         IGHJ2*01            
        Res  : IGHV1/OR21-1*01     IGHD5-12*01         IGHJ2*01            

S157    Pred : IGHV3-9*03          IGHD2-8*02          IGHJ5*02            
        Res  : IGHV3-9*01          IGHD2-8*02          IGHJ5*02            

S158    Pred : IGHV3-21*02         IGHD2-2*01          IGHJ2*01            
        Res  : IGHV3-21*02         IGHD2-2*02          IGHJ2*01            

S159    Pred : IGHV3-30*06         IGHD5-24*01         IGHJ5*01            
        Res  : IGHV3-30*06         IGHD5-24*01         IGHJ5*01            

S160    Pred : IGHV3-23*01         IGHD6-19*01         IGHJ1*01            
        Res  : IGHV3-23*04         IGHD6-19*01         IGHJ1*01            

S161    Pred : IGHV3-30*16         IGHD2-8*02          IGHJ5*01            
        Res  : IGHV3-30*16         IGHD5-12*01         IGHJ5*01            

S162    Pred : IGHV2-70D*14        IGHD1-26*01         IGHJ1*01            
        Res  : IGHV2-70D*14        IGHD1-26*01         IGHJ1*01            

S163    Pred : IGHV2-26*01         IGHD2/OR15-2a*01    IGHJ5*02            
        Res  : IGHV2-26*01         IGHD7-27*01         IGHJ5*02            

S164    Pred : IGHV4-59*02         IGHD6-19*01         IGHJ3*02            
        Res  : IGHV4-59*02         IGHD4/OR15-4a*01    IGHJ3*02            

S165    Pred : IGHV3/OR16-9*01     No genes            IGHJ3*02            
        Res  : IGHV3/OR16-9*01     IGHD5-24*01         IGHJ3*01            

S166    Pred : IGHV1/OR15-1*01     IGHD2-21*01         IGHJ2*01            
        Res  : IGHV1/OR15-1*02     IGHD2-21*01         IGHJ2*01            

S167    Pred : IGHV3-53*03         IGHD3-10*01         IGHJ1*01            
        Res  : IGHV3-53*03         IGHD3-10*01         IGHJ1*01            

S168    Pred : IGHV2/OR16-5*01     IGHD3-22*01         IGHJ1*01            
        Res  : IGHV2/OR16-5*01     IGHD6-6*01          IGHJ1*01            

S169    Pred : IGHV3-16*01         IGHD3-10*02         IGHJ3*01            
        Res  : IGHV3-16*01         IGHD3-10*02         IGHJ3*01            

S170    Pred : IGHV4/OR15-8*03     IGHD2-2*02          IGHJ5*01            
        Res  : IGHV4/OR15-8*03     IGHD2-2*01          IGHJ5*01            

S171    Pred : IGHV4-34*10         IGHD3-22*01         IGHJ5*01            
